term,component_1,component_2
tend,-0.15500499999255474,0.02145373957376421
lack,-0.15464894205631535,-0.04375917440108778
setting,-0.15450343911181505,0.02969234493597773
likely,-0.15431003660710307,0.21060710298438393
acceptance,-0.15340721523440023,-0.154473661218608
populations,-0.15289525926772296,0.3034849593826489
content,-0.15158335696063116,-0.051145733245253996
strategic,-0.15090456657885867,-0.26164147716082986
centers,-0.15087783449314396,0.09234292551207257
treatment,-0.1508004740456785,0.5112918202287356
late,-0.15074148428345618,0.2359892284902651
method used,-0.1496823931508773,0.06375808834525237
guided,-0.14887687078607253,-0.0005085518575246722
mentioned,-0.14829115809888,0.05888573479561091
half,-0.14823865414550075,0.26097779755151584
emphasizes,-0.148068054973148,-0.2242470462944612
having,-0.14801010704971845,0.11481078615797702
regulation,-0.14784892536938454,0.03624863421304579
used study,-0.14709592912793945,0.18653566389114032
objective study,-0.14668126714122798,0.28772971440162576
clinical,-0.14661334422845235,0.40898499263335897
importance,-0.14649741122008206,-0.03405189407709459
centered,-0.1461347937459982,-0.2109247651202085
preparation,-0.1457777559985348,0.0221152148018474
influence,-0.14509235146256352,0.044198537872122
conducting,-0.14316393893713988,-0.05587557520335733
places,-0.1430414929151177,-0.026887664459026718
format,-0.14279285159863678,-0.13005341561826073
principles,-0.14262995204021667,-0.16179520265446
ongoing,-0.142589062127325,-0.08016216715526481
facilities,-0.14223954365922947,0.016882466167889208
north,-0.142120972673284,0.2637631656009034
lt gt,-0.14194130343569522,0.03580130693233482
elderly,-0.14116837693158404,0.12953499242948185
burden,-0.14113918505086787,0.20477126857066888
seven,-0.14091844567733322,0.19858737331921134
behavioral,-0.14056554504965554,-0.01074441609507131
clear,-0.14011064292917835,0.0007701132662310997
gaps,-0.13994643439831667,-0.15361922865561178
guideline,-0.13930076661584095,0.19243769674507813
concern,-0.13928918989277886,0.1355859732925311
look,-0.13928052186238601,-0.06367664950296488
reason,-0.13925514151078214,0.05608258317364544
signs,-0.13917367526007154,0.12309963996122164
deeper,-0.13895834985910785,-0.12659004819775296
looking,-0.1384615491203983,-0.11464409165296176
bring,-0.1380402797795604,-0.12416757224064125
